KATEGORI,PERTANYAAN,JAWABAN,REFERENSI
Kampung KB,Susunan keanggotaan Pokja Kampung Keluarga Berkualitas tingkat Desa/Kelurahan ditetapkan melalui apa ?,Susunan keanggotaan Pokja Kampung Keluarga Berkualitas tingkat  Desa/ Kelurahan ditetapkan dengan keputusan kepala desa/lurah atau yang disebut dengan nama lain.,Peraturan Kepala BKKBN Nomor 20 Tahun 2023
Kampung KB,Klasifikasi Kampung KB terdiri dari apa saja ?,"Klasifikasi Kampung KB terdiri dari : 1). Dasar, 2). Berkembang, 3). Mandiri, dan 4). Berkelanjutan",Materi (ppt) Kampung KB dari Direktorat Analisis Kependudukan BKKBN Pusat
Kampung KB,Apa saja yang menjadi penilaian indikator keberhasilan Kampung Keluarga Berkualitas ?,"Indikator keberhasilan Kampung Keluarga Berkualitas dinilai dari Indeks Pembangunan Keluarga (iBangga). Selain itu, diharapkan dapat berkontribusi terhadap peningkatan Indeks Desa Membangun (IDM), penurunan angka kemiskinan dan jumlah kejadian Stunting. 
",Buku Pedoman Optimalisasi Penyelenggaraan Kampung Keluarga Berkualitas
SSK,Apa yang dimaksud dengan Sekolah Siaga Kependudukan (SSK)?,"SSK adalah sekolah yang mengintegrasikan pendidikan kependudukan, keluarga berencana, dan pembangunan keluarga ke dalam mata pelajaran, muatan lokal, kegiatan kesiswaan, dan bimbingan konseling.
","Juklak (Petunjuk Pelaksanaan) Pendidikan Kependudukan Jalur Formal, NonFormal dan Informal (2019)"
SSK,Apa tujuan utama dari SSK?,"Untuk membentuk karakter generasi berencana melalui penguatan pengetahuan, sikap, dan keterampilan peserta didik mengenai isu-isu kependudukan.","Juklak (Petunjuk Pelaksanaan) Pendidikan Kependudukan Jalur  Formal, NonFormal dan Informal (2019)"
SSK,"Apa manfaat penerapan SSK di sekolah?

","1. Peserta didik memiliki sikap, pengetahuan, dan keterampilan tentang peduli kependudukan. 
2.  Peserta didik berperilaku yang mencerminkan keluarga berkualitas. 
3.  Peserta didik memiliki pengetahuan yang utuh  tentang  masalah  dan manfaat kependudukan setempat (local genius). 
4.  Peserta didik mampu menyajikan data mikro kependudukan dalam bentuk 
peta, grafik atau digital untuk dianalisa sederhana. 
5.  Mengurangi drop out (putus sekolah) dan kasus lainnya yang banyak terjadi di sekolah. 
6.  Meningkatkan pengetahuan tenaga pendidik dan peserta didik akan manfaat dan dampak dari kependudukan. ","Juklak (Petunjuk Pelaksanaan) Pendidikan Kependudukan Jalur  Formal, NonFormal dan Informal (2019)"
SSK,"Apa yang dimaksud dengan Pojok Kependudukan?
",Sebuah sumber belajar di sekolah yang menyediakan informasi dan bacaan terkait kependudukan.,"Juklak (Petunjuk Pelaksanaan) Pendidikan Kependudukan Jalur  Formal, NonFormal dan Informal (2019)"
SSK,"Apa saja tahapan pembentukan SSK?

","Dimulai dari rapat koordinasi, perjanjian kerjasama, sosialisasi, penyusunan materi, orientasi guru, rapat penguatan, pembuatan pojok kependudukan, hingga pencanangan SSK.","Juklak (Petunjuk Pelaksanaan) Pendidikan Kependudukan Jalur  Formal, NonFormal dan Informal (2019)"
SSK,"Bagaimana integrasi SSK dengan program Bangga Kencana?
","SSK menjadi wadah sosialisasi program Bangga Kencana seperti GENRE, PIK KRR, dan Kespro Remaja.
","Juklak (Petunjuk Pelaksanaan) Pendidikan Kependudukan Jalur  Formal, NonFormal dan Informal (2019)"
SSK,"Bagaimana integrasi SSK dengan lintas sektor?

","Integrasi SSK dengan lintas sektor dapat dilakukan dengan melibatkan Kementerian Pendidikan, BNN, Kementerian LH, dan Kementerian Dalam Negeri dalam berbagai program terkait.
","Juklak (Petunjuk Pelaksanaan) Pendidikan Kependudukan Jalur  Formal, NonFormal dan Informal (2019)"
SSK,Apa manfaat Pojok Kependudukan bagi peserta didik?,"Pojok Kependudukan menjadi tempat belajar mandiri, diskusi, dan konsultasi tentang isu-isu kependudukan. Di tempat ini, peserta didik bisa mengakses informasi yang relevan, berdiskusi dengan guru, serta memanfaatkan media dan bacaan untuk memperluas wawasan mereka.
","Juklak (Petunjuk Pelaksanaan) Pendidikan Kependudukan Jalur  Formal, NonFormal dan Informal (2019)"
SSK,Apa kontribusi Dinas Pendidikan dalam mendukung pelaksanaan SSK?,"Dinas Pendidikan berperan dalam mendukung kebijakan integrasi pendidikan kependudukan ke sekolah melalui penerbitan SK penunjukan, pelatihan guru, dan penguatan forum koordinasi seperti MKKS, MGMP, serta memfasilitasi sarana penunjang seperti modul pembelajaran dan Pojok Kependudukan.
","Juklak (Petunjuk Pelaksanaan) Pendidikan Kependudukan Jalur  Formal, NonFormal dan Informal (2019)"
SSK,"Bagaimana indikator keberhasilan penerapan SSK diukur?
","Indikator keberhasilan diukur dari tiga aspek: input (ketersediaan sarana, RPP, dan sekolah percontohan), proses (pelaksanaan pembelajaran, kunjungan lapangan, dan pengolahan data), serta output (peningkatan pemahaman dan perubahan sikap siswa terhadap isu kependudukan).
","Juklak (Petunjuk Pelaksanaan) Pendidikan Kependudukan Jalur  Formal, NonFormal dan Informal (2019)"
SSK,"Bagaimana pendidikan kependudukan bisa diintegrasikan dalam pelajaran biologi?

","Dalam pelajaran biologi, pendidikan kependudukan bisa diintegrasikan melalui topik kesehatan reproduksi, pertumbuhan populasi, dan dampaknya terhadap lingkungan. Bahkan bisa melibatkan ahli seperti bidan untuk menjelaskan langsung tentang kesehatan reproduksi remaja.","Materi Kebijakan & Strategi  Kerjasama Pendidikan Kependudukan  Melalui Sekolah Siaga Kependudukan (SSK) Perwakilan BKKBN DIY Tahun 2022
"
SSK,"Apa saja kegiatan kesiswaan yang dapat menunjang pelaksanaan SSK?
","Kegiatan seperti Lomba Karya Tulis Ilmiah Kependudukan, Pramuka, Debat tema kependudukan, diskusi kelompok, kampanye Genre, dan simulasi wawancara lapangan menjadi kegiatan yang mampu meningkatkan pemahaman sekaligus keterampilan sosial siswa.","Materi Kebijakan & Strategi  Kerjasama Pendidikan Kependudukan  Melalui Sekolah Siaga Kependudukan (SSK) Perwakilan BKKBN DIY Tahun 2022
"
SSK,Apa saja klasifikasi SSK?,"Klasifikasi SSK terdiri dari terdaftar, dasar, dan paripurna.",Petunjuk Pelaksanaan Lomba SSK Tahun 2024
SSK,Apa syarat atau indikator yang harus dipenuhi untuk menjadi SSK Dasar?,"-        Memiliki SK Penunjukan sebagai SSK
-        Berpartisipasi dalam kegiatan sosialisasi Program SSK
-        Minimal 1–2 guru telah mengikuti orientasi/pelatihan penyusunan RPP/Modul Ajar terintegrasi materi Bangga Kencana
-        Menyusun 1–2 RPP/Modul Ajar yang terintegrasi materi Bangga Kencana
-        Melakukan 1 kali pertemuan koordinasi dan penguatan SSK
-        Tersedia materi Bangga Kencana di perpustakaan sekolah (pojok kependudukan)
-        Memiliki 1 kegiatan kesiswaan atau ekstrakurikuler yang mengandung konten Bangga Kencana
Dengan catatan, apabila ada indikator yang tidak terpenuhi, maka SSK tersebut masuk kedalam klasifikasi di bawah Dasar, yakni SSK Terdaftar.
",Petunjuk Pelaksanaan Lomba SSK Tahun 2024
SSK,Apa syarat atau indikator yang harus dipenuhi untuk menjadi SSK Paripurna?,"-	Memiliki SK Penunjukan sebagai SSK
-	Pernah mengikuti kegiatan sosialisasi Program SSK
-	Minimal 3 guru telah mengikuti orientasi/pelatihan penyusunan RPP/Modul Ajar terintegrasi materi Bangga Kencana
-	Menyusun lebih dari 2 RPP/Modul Ajar yang terintegrasi materi Bangga Kencana
-	Melakukan koordinasi dan penguatan SSK lebih dari 1 kali
-	Memiliki pojok kependudukan yang fungsional dan lengkap
-	Memiliki lebih dari 1 kegiatan kesiswaan atau ekstrakurikuler yang mengandung konten Bangga Kencana
",Petunjuk Pelaksanaan Lomba SSK Tahun 2024
SiPerindu,Apa yang dimaksud Peringatan Dini Pengendalian Penduduk?,Peringatan Dini Pengendalian Penduduk adalah suatu usaha untuk memperingatkan potensi atau masalah kependudukan yang akan timbul baik bersifat segera ataupun yang akan datang akibat situasi kependudukan serta kebijakan pengendalian penduduk yang sedang dilaksanakan kepada masyarakat dan pemangku kepentingan di bidang pembangunan kependudukan.,Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Siapa pelaksana Peringatan Dini Pengendalian Penduduk Tingkat Nasional?,Pelaksana Peringatan Dini Pengendalian Penduduk Tingkat Nasional adalah Badan Kependudukan dan Keluarga Berencana Nasional.,Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Siapa pelaksana Peringatan Dini Pengendalian Penduduk Tingkat Provinsi?,Pelaksana Peringatan Dini Pengendalian Penduduk Tingkat Provinsi adalah perangkat daerah yang membawahi urusan pengendalian penduduk dan keluarga berencana provinsi.,Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Siapa pelaksana Peringatan Dini Pengendalian Penduduk Tingkat Kabupaten/Kota?,Pelaksana Peringatan Dini Pengendalian Penduduk Tingkat Kabupaten/Kota adalah perangkat daerah yang membawahi urusan pengendalian penduduk dan keluarga berencana kabupaten/kota.,Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Apa saja tahapan Pengelolaan Peringatan Dini Pengendalian Penduduk?,"a. penyediaan informasi Peringatan Dini Pengendalian Penduduk; b. penyediaan sumber daya Peringatan Dini Pengendalian Penduduk; c. pelaksanaan Peringatan Dini Pengendalian Penduduk; dan d. pelaporan, monitoring dan evaluasi pelaksanaan Peringatan Dini Pengendalian Penduduk.",Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Apa saja yang termasuk penyediaan informasi Peringatan Dini Pengendalian Penduduk,a. informasi komponen kependudukan; b. informasi kualitas penduduk; dan c. informasi dampak kependudukan.,Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Apa saja yang termasuk Informasi komponen kependudukan?,"a. fertilitas;
b. mortalitas;
c. mobilitas dan migrasi penduduk;
d. jenis kelamin;
e. kelompok umur; dan
f. persebaran penduduk.",Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Apa saja yang termasuk Informasi dampak kependudukan?,"a. pendidikan;
b. kesehatan; dan
c. keterpenuhan standar hidup layak.",Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,,"a. sosial;
b. ekonomi;
c. politik;
d. pertahanan dan keamanan; dan
e. daya dukung alam dan daya tampung lingkungan",Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Melalui apa saja penyediaan informasi Peringatan Dini Pengendalian Penduduk?,Penyediaan informasi Peringatan Dini Pengendalian Penduduk dilaksanakan melalui Sistem Aplikasi dan Kajian Ilmiah.,Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Melalui apa saja penyediaan sumber daya Peringatan Dini Pengendalian Penduduk?,Penyediaan sumber daya Peringatan Dini Pengendalian Penduduk dilakukan melalui peningkatan sumber daya manusia yang terampil dalam pelaksanaan Peringatan Dini Pengendalian Penduduk dan pendanaan pelaksanaan Peringatan Dini Pengendalian Penduduk.,Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Dari mana sumber pendanaan pelaksanaan Peringatan Dini Pengendalian Penduduk?,Pendanaan pelaksanaan Peringatan Dini Pengendalian Penduduk bersumber dari: a. anggaran pendapatan dan belanja negara; b. anggaran pendapatan dan belanja daerah; dan c. sumber pendanaan lainnya yang sah sesuai dengan ketentuan peraturan perundang undangan.,Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,"Apa tujuan pelaporan, monitoring dan evaluasi pelaksanaan Peringatan Dini Pengendalian Penduduk?","Pelaporan, monitoring dan evaluasi pelaksanaan Peringatan Dini Pengendalian Penduduk bertujuan untuk:
a. mengetahui kemajuan dan keberhasilan pelaksanaan Peringatan Dini Pengendalian Penduduk;
b. mengetahui hambatan dan kendala pelaksanaan Peringatan Dini Pengendalian Penduduk;
c. memberikan umpan balik bagi kemajuan pelaksanaan Peringatan Dini Pengendalian Penduduk; dan
d. memberikan penilaian kesesuaian terhadap kegiatan, keluaran, dan target strategi pelaksanaan Peringatan Dini Pengendalian Penduduk.",Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Siapa yang membuat laporan pelaksanaan Peringatan Dini Pengendalian Penduduk?,"Pelaporan pelaksanaan Peringatan Dini Pengendalian Penduduk dilaksanakan oleh pelaksana Peringatan Dini Pengendalian Penduduk tingkat Nasional, tingkat Provinsi, dan tingkat Kabupaten/Kota.",Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Melalui apa pelaporan pelaksanaan Peringatan Dini Pengendalian Penduduk?,Pelaporan pelaksanaan Peringatan Dini Pengendalian Penduduk dilaksanakan melalui Sistem Aplikasi Peringatan Dini Pengendalian Penduduk.,Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Bagaimana mekanisme pelaporan pelaksanaan Peringatan Dini Pengendalian Penduduk?,Pelaporan pelaksanaan Peringatan Dini Pengendalian Penduduk disampaikan kepada Kepala BKKBN paling sedikit 1 (satu) kali dalam 1 (satu) tahun atau sewaktu-waktu apabila diperlukan.,Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Siapa yang melaksanakan monitoring dan evaluasi pelaksanaan Peringatan Dini Pengendalian Penduduk?,"Monitoring dan evaluasi pelaksanaan Peringatan Dini Pengendalian Penduduk dilakukan oleh kementerian/lembaga, pemerintah daerah provinsi, dan pemerintah daerah kabupaten/kota sesuai dengan kewenangannya.",Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Apa peran BKKBN dalam monitoring dan evaluasi pelaksanaan Peringatan Dini Pengendalian Penduduk?,BKKBN mengoordinasikan monitoring dan evaluasi pelaksanaan Peringatan Dini Pengendalian Penduduk.,Peraturan Badan Kependudukan  dan Keluarga Berencana Nasional  Republik Indonesia  Nomor 1 Tahun 2021  Tentang  Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Apa yang dimaksud dengan Sistem aplikasi Peringatan Dini Pengendalian Penduduk?,"Sistem aplikasi peringatan dini pengendalian penduduk merupakan alat bantu bagi pemerintah dan masyarakat dalam mendapatkan informasi peringatan dini situasi kependudukan serta rekomendasi kebijakan, untuk kesiapsiagaan dan respon terhadap program pengendalian penduduk.",Lampiran  Peraturan Deputi Bidang Pengendalian Penduduk Badan Kependudukan Dan Keluarga Berencana Nasional Nomor 6 Tahun 2021 Tentang  Petunjuk Teknis Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Apa yang dilakukan Kementerian Dalam Negeri terkait implementasi kebijakan pengendalian penduduk dalam perencanaan pembangunan?,Kementerian Dalam Negeri melalui Peraturan Menteri Dalam Negeri Nomor 22 Tahun 2018 tentang Penyusunan Rencana Kerja Pemerintah Daerah Tahun 2019 sejatinya telah mengamanatkan penyediaan peringatan dini dampak kependudukan (yang kemudian maknanya diperluas menjadi peringatan dini pengendalian penduduk) sebagai langkah dari implementasi kebijakan pengendalian penduduk dalam perencanaan pembangunan,Lampiran  Peraturan Deputi Bidang Pengendalian Penduduk Badan Kependudukan Dan Keluarga Berencana Nasional Nomor 6 Tahun 2021 Tentang  Petunjuk Teknis Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Adakah peraturan tentang peringatan dini pengendalian penduduk provinsi dan kabupaten/kota dalam perencanaan pembangunan daerah?,"Peraturan Menteri Dalam Negeri Nomor 90 Tahun 2019 tentang Klasifikasi, Kodefikasi, dan Nomenklatur Perencanaan Pembangunan dan Keuangan Daerah dimana sub-kegiatan terkait dengan peringatan dini pengendalian penduduk tercantum dalam nomenklatur urusan provinsi dan kabupaten/kota.",Lampiran  Peraturan Deputi Bidang Pengendalian Penduduk Badan Kependudukan Dan Keluarga Berencana Nasional Nomor 6 Tahun 2021 Tentang  Petunjuk Teknis Pengelolaan Peringatan Dini Pengendalian Penduduk
